label_value	roi_id	name	network	x	y	z
69	69	7Networks_RH_DorsAttn_Post_3	DorsAttn	39.27427597955707	-45.15843270868824	49.14310051107326
70	70	7Networks_RH_DorsAttn_Post_4	DorsAttn	26.52239611440907	-66.78143550998381	50.19967620075553
71	71	7Networks_RH_DorsAttn_Post_5	DorsAttn	14.607385079125848	-52.51092690278824	65.65636774679729
72	72	7Networks_RH_DorsAttn_PrCv_1	DorsAttn	48.83821656050955	9.892993630573244	27.169426751592358
73	73	7Networks_RH_DorsAttn_FEF_1	DorsAttn	28.153191489361703	-2.431205673758868	58.89503546099292
74	74	7Networks_RH_SalVentAttn_TempOccPar_1	SalVentAttn	58.0324449594438	-42.115874855156434	13.323290845886447
75	75	7Networks_RH_SalVentAttn_TempOccPar_2	SalVentAttn	60.25	-25.57518796992481	27.90601503759399
76	76	7Networks_RH_SalVentAttn_FrOperIns_1	SalVentAttn	40.417125382263	7.982874617736996	0.6691131498470924
77	77	7Networks_RH_SalVentAttn_Med_1	SalVentAttn	10.677462887989208	-30.20782726045884	45.35762483130904
78	78	7Networks_RH_SalVentAttn_Med_2	SalVentAttn	7.913333333333327	5.74666666666667	52.528000000000006
79	79	7Networks_RH_Limbic_OFC_1	Limbic	12.783619817997971	36.54196157735086	-19.49747219413549
80	80	7Networks_RH_Limbic_TempPole_1	Limbic	38.36159222120936	-0.2698268003646262	-35.33515648738985
81	81	7Networks_RH_Cont_Par_1	Cont	57.81273408239701	-38.64669163545568	43.17353308364544
82	82	7Networks_RH_Cont_Par_2	Cont	45.203007518796994	-62.46804511278196	45.866541353383454
83	83	7Networks_RH_Cont_PFCl_1	Cont	29.86899563318777	57.09170305676855	-2.611353711790386
84	84	7Networks_RH_Cont_PFCl_2	Cont	45.27598566308244	38.73835125448028	14.97060931899641
85	85	7Networks_RH_Cont_PFCl_3	Cont	31.59056316590563	45.50684931506851	29.15981735159818
86	86	7Networks_RH_Cont_PFCl_4	Cont	43.23456790123457	16.54183813443072	45.12071330589849
87	87	7Networks_RH_Cont_Cing_1	Cont	5.071428571428569	-27.09863945578232	32.81972789115646
88	88	7Networks_RH_Cont_PFCmp_1	Cont	6.3427647534357305	26.683912691996767	31.53112368633792
89	89	7Networks_RH_Cont_pCun_1	Cont	10.129803586678053	-64.63193851409052	42.215200683176775
90	90	7Networks_RH_Default_Par_1	Default	54.735721200387225	-50.731848983543074	30.56921587608906
91	91	7Networks_RH_Default_Temp_1	Default	61.49973614775726	-23.39208443271768	-17.939841688654354
92	92	7Networks_RH_Default_Temp_2	Default	50.81949458483754	6.402527075812287	-17.18953068592058
93	93	7Networks_RH_Default_Temp_3	Default	57.32118451025057	-26.235383447228543	-2.3143507972665134
94	94	7Networks_RH_Default_PFCv_1	Default	35.212636695018226	26.82867557715673	-13.737545565006071
95	95	7Networks_RH_Default_PFCv_2	Default	50.88252148997135	28.038204393505254	-0.0152817574021071
96	96	7Networks_RH_Default_PFCdPFCm_1	Default	6.777898158179852	48.23510292524378	0.621885157096429
97	97	7Networks_RH_Default_PFCdPFCm_2	Default	11.8234495246718	45.89678587596197	39.92394748755093
98	98	7Networks_RH_Default_PFCdPFCm_3	Default	26.086746987951805	24.163855421686748	49.41847389558232
99	99	7Networks_RH_Default_pCunPCC_1	Default	12.71370967741936	-54.1008064516129	14.612903225806448
100	100	7Networks_RH_Default_pCunPCC_2	Default	7.072039072039075	-52.58363858363859	30.22222222222223
