motion_matrix_00	motion_matrix_01	motion_matrix_02	motion_matrix_10	motion_matrix_11	motion_matrix_12	motion_matrix_20	motion_matrix_21	motion_matrix_22	motion_offset_x	motion_offset_y	motion_offset_z	framewise_displacement	csf	white_matter
0.9999372363090516	-0.0058939345180988	0.009530478157103	0.0058327801525592	0.999962329864502	0.0064318450167775	-0.0095680272206664	-0.0063758515752851	0.999933898448944	0.2904299689925782	-0.0632940787937403	-0.5840751928747956	n/a	1994.1045	1612.5793
0.9999459981918336	-0.0050370492972433	0.0090884435921907	0.0049744867719709	0.999963879585266	0.0068932236172258	-0.0091228373348712	-0.0068476414307951	0.99993497133255	0.2390155651450527	-0.0566252886263445	-0.5953136457835235	0.1021990478038787	2002.6785	1613.1697
0.999948799610138	-0.0052944929338991	0.0086274063214659	0.0052394769154489	0.9999659061431884	0.0063870721496641	-0.0086609283462166	-0.0063415421172976	0.999942421913147	0.2726481565560767	-0.0281664175968106	-0.544188789226066	0.08578622341156	1999.502	1612.6389
0.9999398589134216	-0.005354746710509	0.0095650646835565	0.0052934177219867	0.9999653100967408	0.0064256121404469	-0.0095991417765617	-0.0063745947554707	0.9999336004257202	0.1799952062301439	-0.1401464736185067	-0.4644057144533491	0.265329897403717	2015.2104	1615.534
0.9999417662620544	-0.0043947519734501	0.0098538920283317	0.004334520548582	0.999971866607666	0.0061254543252289	-0.0098805343732237	-0.0060823857784271	0.9999327063560486	-0.0262534959230045	-0.0474107919389075	-0.3817673761500053	0.3722884654998779	2034.6287	1618.353
0.9999293088912964	-0.0042964881286025	0.0110864974558353	0.0042309812270104	0.999973475933075	0.0059253703802824	-0.0111116617918014	-0.005878044757992	0.9999209642410278	-0.0188560085534312	-0.0228153309115275	-0.4961806303844156	0.1659841686487198	2035.7996	1617.4897
0.9999610185623168	-0.0029278190340846	0.0083264047279953	0.0028882795013487	0.9999845027923584	0.0047567514702677	-0.0083402022719383	-0.0047325175255537	0.9999539852142334	0.073023246017378	-0.1242253837547884	-0.2776613091576543	0.3860283493995666	2057.3672	1620.0009
0.9999772310256958	-0.0028698949608951	0.0061134109273552	0.0028547625988721	0.999992847442627	0.0024825241416692	-0.00612049177289	-0.0024650152772665	0.999978244304657	0.0510437443066003	0.0433671967463045	-0.2266327500588154	0.2516611814498901	2073.986	1619.4276
0.9999828338623048	-0.0028188279829919	0.0051342863589525	0.0028081049676984	0.999993860721588	0.0020945228170603	-0.0051401588134467	-0.0020800693891942	0.999984622001648	0.1080578812801853	-0.0592022345028282	-0.1642103355817781	0.2019308060407638	2071.7063	1617.0795
0.999970555305481	-0.0040320293046534	0.0065304809249937	0.0040116487070918	0.9999870657920836	0.0031310121994465	-0.0065430202521383	-0.0031047218944877	0.9999737739562988	0.1457951106069757	-0.0294384247245509	-0.4001205860411332	0.3506486713886261	2053.8682	1614.1609
0.9999697804450988	-0.003706406801939	0.0068390043452382	0.0036797437351197	0.9999856352806092	0.0039071347564458	-0.0068533872254192	-0.0038818509783595	0.9999690055847168	0.1459222409188374	-0.0350168218804451	-0.3375059725183682	0.0915453881025314	2075.657	1619.8181
0.9999781847000122	-0.002568716648966	0.0060899648815393	0.0025444300845265	0.9999887943267822	0.0039923819713294	-0.0061001516878604	-0.0039767990820109	0.999973475933075	0.1308398690630063	-0.080941275963962	-0.5661923610136057	0.3040037155151367	2040.64	1612.4977
0.9999780654907228	-0.0025109236594289	0.0061329551972448	0.0024882282596081	0.9999900460243224	0.0037054028362035	-0.0061421981081366	-0.0036900613922625	0.9999743700027466	0.1095032404128453	0.0117311232263528	-0.4558500672382024	0.2171829342842102	2055.3977	1619.386
0.9999833703041076	-0.0020148647017776	0.0054043759591877	0.0019984124228358	0.99999338388443	0.0030479151755571	-0.0054104817099869	-0.0030370641034096	0.9999807476997375	0.0662723246584242	-0.0465004276961851	-0.2582981174034522	0.3276106119155884	2061.7776	1618.5222
0.9999869465827942	-0.0017882506363093	0.0047802189365029	0.0017776077147573	0.9999959468841552	0.0022297599352896	-0.0047841873019933	-0.0022212334442883	0.9999861121177672	0.1192137041575254	0.0338193236509312	-0.3147050834186515	0.1561513096094131	2024.4579	1615.1019
0.9999879002571106	-0.0021228573750704	0.0044272602535784	0.0021138878073543	0.9999957084655762	0.0020296070724725	-0.0044315503910183	-0.0020202239975333	0.9999881386756896	0.1031579120137813	-0.0367364671305869	-0.2199366095521	0.1970020681619644	2037.598	1616.2651
0.99998676776886	-0.0020399016793817	0.0047143893316388	0.002031966811046	0.9999964833259584	0.0016872922424227	-0.0047178147360682	-0.001677690539509	0.9999874234199524	0.0817967087141724	0.0250583892553755	-0.3204048238523533	0.1650832444429397	2038.656	1614.9806
0.9999881386756896	-0.0019778227433562	0.0044403290376067	0.0019658217206597	0.9999943971633912	0.0027054536622017	-0.0044456552714109	-0.0026966929435729	0.999986469745636	0.102601041381197	-0.0185898804517061	-0.2589141173981986	0.0935882031917572	2044.4978	1618.5292
0.9999837875366212	-0.0031841455493122	0.0047181127592921	0.0031775282695889	0.9999939799308776	0.0014093507779762	-0.004722571466118	-0.0013943359954282	0.9999879002571106	0.0452882711227751	-0.0290787200848559	-0.2842616161711824	0.1349563002586364	2044.844	1620.2769
0.9999879598617554	-0.0017111244378611	0.0045878090895712	0.0016979181673377	0.9999943971633912	0.0028809043578803	-0.0045927129685878	-0.0028730800841003	0.9999853372573853	0.0274414343518145	0.0105576919172314	-0.3213778154402327	0.1587509661912918	2030.001	1618.9146
0.9999899864196776	-0.0018945327028632	0.0040521896444261	0.0018829583423212	0.999994158744812	0.0028582292143255	-0.0040575810708105	-0.0028505704831331	0.9999877214431764	0.0450601770551237	-0.0746637549637867	-0.18626368289965	0.2293435633182525	2033.381	1618.1735
0.9999937415122986	-0.0014350968413054	0.003241335041821	0.0014311549020931	0.9999982714653016	0.0012181199854239	-0.0032430773135274	-0.0012134735006839	0.9999940395355223	0.0535723230311031	0.0401892011645514	-0.2789191625504585	0.1862528622150421	2004.8579	1614.5592
0.999995768070221	-0.0015114672714844	0.0024826982989907	0.0015052960952743	0.999995768070221	0.0024856822565197	-0.0024864447768777	-0.0024819346144795	0.9999938011169434	0.0659544419032602	-0.0415904331447789	-0.1821514987145356	0.1534138917922973	2017.4622	1614.4612
0.9999952912330629	-0.0012960062595084	0.0027723950333893	0.0012926704948768	0.9999984502792358	0.0012046450283378	-0.0027739517390727	-0.0012010557111352	0.9999954104423524	0.0427971812492344	0.0030755365767158	-0.2082310404872345	0.0691207647323608	2024.0905	1613.7576
0.9999960064888	-0.0007246731547638	0.0027469308115541	0.0007200057734735	0.9999983310699464	0.0016997309867292	-0.0027481578290462	-0.0016977462219074	0.9999948143959044	0.0265868385957261	-0.0169108474924337	-0.1943797063768357	0.0416935235261917	2028.2585	1615.4612
0.999996781349182	-0.0009914577240124	0.0023469082079827	0.0009879177669063	0.9999983906745912	0.0015090805245563	-0.0023484006524086	-0.0015067569911479	0.9999961256980896	0.0254621923586526	-0.0626026857069508	-0.1542026068983304	0.1033825129270553	2051.8594	1617.6577
0.9999960064888	-0.0010922353249043	0.0026050223968923	0.0010895336745306	0.9999988675117492	0.0010382962645962	-0.0026061534881591	-0.0010354537516832	0.9999960660934448	0.0284779645030255	0.0477098929175854	-0.1941162638595663	0.1439905315637588	2052.9531	1618.3496
0.9999967217445374	-0.0010220856638625	0.0023474094923585	0.001017598202452	0.999997615814209	0.0019120598444715	-0.0023493580520153	-0.0019096648320555	0.9999954104423524	0.0272279078804125	-0.0788276170478328	-0.0955948972074232	0.2059459090232849	2066.0378	1619.8574
0.9999948740005492	-0.0018727204296737	0.0026063327677547	0.0018690903671085	0.9999973177909852	0.0013945017708465	-0.002608936978504	-0.0013896231539547	0.9999956488609314	0.0246767821885924	0.0618683070191741	-0.2088512616459432	0.2487526535987854	2069.9758	1618.7521
0.9999958872795104	-0.0014788887929171	0.0024532398674637	0.001474440912716	0.9999973177909852	0.0018137993756681	-0.0024559155572205	-0.001810174784623	0.9999953508377076	0.027542383789596	-0.0764694260493987	-0.0986022109172459	0.2411435842514038	2083.1113	1620.0131
0.9999929070472716	-0.0012463877210393	0.003551818197593	0.0012393633369356	0.9999972581863404	0.0019791852682828	-0.0035542752593755	-0.0019747694022953	0.9999917149543762	-0.0149360707841577	0.0452471121362636	-0.1940973139712412	0.239577054977417	2072.676	1620.098
0.9999955296516418	-0.0012361628469079	0.0027242563664913	0.0012306164717301	0.9999971389770508	0.0020366993267089	-0.0027267665136605	-0.0020333377178758	0.9999942183494568	0.0116044800713748	-0.0416652693326073	-0.1124833248311567	0.177408218383789	2073.3997	1618.4939
0.9999968409538268	-0.0011579957790672	0.0022279829718172	0.0011569726048037	0.999999225139618	0.0004604531277436	-0.002228514291346	-0.0004578739462886	0.99999737739563	0.0304780619728148	0.0575992825445452	-0.2076901276543452	0.1635398864746093	2045.6917	1615.692
0.9999962449073792	-0.0011551500065252	0.002486458281055	0.0011509895557537	0.9999979734420776	0.001673997263424	-0.0024883868172764	-0.0016711290227249	0.9999955296516418	0.013844856704857	-0.0250074028572777	-0.1694360521578843	0.0979946106672287	2046.5924	1614.6827
0.9999974966049194	-0.0006659424980171	0.00212700269185	0.0006649964489042	0.9999996423721312	0.0004454627342056	-0.0021272986195981	-0.0004440472112037	0.999997615814209	0.0158960929399007	0.0102444676118729	-0.1800042909478136	0.0596401840448379	2055.1287	1616.9829
0.9999977946281432	-0.0005863094702363	0.002021534834057	0.0005841553211212	0.999999225139618	0.0010660545667633	-0.0020221585873514	-0.0010648714378476	0.99999737739563	0.0103176560666184	-0.0171981613867426	-0.1530636548803876	0.0466291233897209	2067.6626	1620.7593
0.9999968409538268	-0.0006634028395637	0.002427254570648	0.0006596486782655	0.9999985694885254	0.0015471598599106	-0.0024282776284962	-0.0015455537941306	0.9999958872795104	0.0231395357861643	-0.0872232863086579	-0.0906631999371079	0.1446718722581863	2071.4224	1621.2357
0.9999971985816956	-0.0005925729637965	0.0022826637141406	0.0005893917405046	0.9999988675117492	0.0013940536882728	-0.0022834874689579	-0.0013927044346928	0.9999964237213136	0.0237824109388569	0.0031121741604329	-0.1303022378531224	0.1304650455713272	2057.9646	1617.9053
0.999999225139618	-0.0004638418613467	0.0011639365693554	0.000463009433588	0.9999996423721312	0.0007153606857173	-0.0011642680037766	-0.0007148211589083	0.9999991059303284	0.0001242348281973	-0.0012216112580154	-0.0815498900545392	0.1168967932462692	2065.5876	1615.0715
0.9999996423721312	-0.0006247893325053	0.000563432695344	0.0006244667456485	0.9999996423721312	0.0005725030787289	-0.0005637901485897	-0.0005721510387957	0.9999996423721312	0.0258044157257	-0.0772129623231125	-0.0398547767870205	0.1323558241128921	2057.4182	1615.722
0.9999995827674866	-0.0006721342215314	0.0006324853748083	0.0006720926612615	0.9999997615814208	6.589997065020725e-05	-0.0006325295544229	-6.547485827468336e-05	0.9999998211860656	0.0133250984145671	0.0091586124886204	-0.091039085845491	0.1332939863204956	2081.598	1618.4133
