1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1373.781773	1478.595494	1539.598229	1476.099638	1629.802742	1680.422549	1827.130967	1902.836212	1998.344566	1491.635249	1621.175423	1555.070175	1645.756092	1972.285764	2349.201372	1467.421835	1988.220416	2410.768065	2112.141041	2690.471283	2768.678546	1611.426841	1911.10056	2016.181743	1501.669523	1540.127099	1760.307164	1824.639177	2154.034871	2025.550588	759.0182454	975.7787201	1027.104493	2339.853131	1531.781878	2276.511471	1989.767868	1138.764774	1362.269084	1773.664609	2274.058099	1331.314831	1386.559394	1357.9518	1288.785356	1936.388755	1702.445332	1810.774466	1852.058018	2116.722259	1364.565866	1669.407458	1630.741125	1685.566069	1786.966558	1717.84776	2123.23059	2059.701796	2073.589842	2204.405108	2158.677188	2366.836827	2463.485242	2539.018964	2902.105209	2577.940624	2163.352716	2527.079348	2727.015231	2587.113119	2954.287837	2165.644787	2296.708748	2216.155101	2515.84298	1983.605086	2270.958837	2112.069413	815.220093	1156.508569	2790.56918	2754.461651	1575.392044	1827.778774	2042.643783	2236.146951	2056.901716	1896.025214	2333.41262	2497.384882	1644.778762	1711.067513	2003.382454	1429.811526	1691.461931	1446.624329	2110.482286	2130.408199	1891.862143	2107.383179
1376.103626	1487.29349	1547.03045	1490.609881	1629.302023	1691.884586	1833.008651	1903.878675	2001.241792	1493.145636	1625.532442	1556.16842	1653.264427	1984.135316	2353.275984	1473.679319	1995.615502	2415.515677	2121.193653	2703.765921	2788.995851	1614.537454	1916.754185	2024.507978	1507.499664	1540.597751	1759.485602	1824.5596	2165.241733	2038.210952	761.1901426	981.8184998	1029.711935	2340.508969	1531.66568	2276.174823	2000.574463	1143.970632	1370.43136	1776.285102	2272.856766	1334.786256	1383.278391	1355.95755	1281.421867	1935.6129	1700.364632	1809.121715	1855.085398	2117.898481	1378.723815	1676.448165	1633.62767	1693.193682	1795.353353	1721.753318	2123.612169	2062.268606	2080.133203	2208.232066	2153.55321	2377.90875	2466.229118	2547.265724	2920.820745	2582.783024	2161.539264	2535.383312	2732.678001	2593.915074	2960.692842	2173.776801	2304.36682	2221.037635	2522.129196	1989.642395	2273.838912	2116.942954	814.835912	1163.767402	2796.011531	2732.098953	1572.699314	1835.752925	2038.280292	2229.731012	2050.04258	1894.629054	2329.427299	2493.279798	1646.370804	1717.599977	2017.866156	1432.543153	1693.611095	1442.405	2104.859242	2129.135035	1891.210112	2109.328474
1379.637851	1477.555971	1544.388123	1478.739356	1617.229281	1696.115379	1834.578244	1914.483262	2010.309615	1503.534183	1626.944822	1560.45471	1651.703349	1984.331974	2357.910883	1472.234011	2004.907474	2408.165303	2128.233667	2687.947993	2774.278032	1623.574183	1920.065771	2030.497478	1513.332206	1543.511185	1764.693127	1828.507004	2158.892572	2037.399763	762.0532203	985.0783714	1028.370422	2333.254193	1537.553778	2273.79299	1998.907588	1145.847594	1373.371246	1781.965108	2268.636762	1335.04417	1390.696081	1365.374476	1290.04698	1946.185494	1705.165028	1815.82167	1858.492104	2125.904438	1378.140073	1667.994247	1630.257012	1682.23214	1799.259655	1731.180827	2129.233635	2073.821884	2079.298928	2212.242116	2162.541878	2383.308174	2464.97808	2541.661937	2904.9135	2586.657394	2165.056009	2540.022242	2727.355376	2588.660431	2946.38815	2175.731134	2300.819468	2219.456977	2524.2997	1985.320604	2276.278519	2112.23693	823.4719945	1169.172645	2792.753263	2720.123263	1578.979929	1835.980296	2051.29538	2234.156741	2055.961347	1900.001451	2329.922841	2489.096662	1643.681687	1723.572507	2011.502484	1435.532302	1693.51826	1454.832281	2121.847503	2135.93536	1897.329549	2115.044034
1382.254468	1486.245602	1568.297782	1484.026011	1626.87927	1715.943626	1835.79943	1919.978348	2025.658377	1507.711824	1645.284068	1563.770157	1653.600001	1998.799098	2378.225275	1479.410915	2004.008251	2429.652984	2136.877922	2707.79524	2800.034886	1620.950452	1926.835694	2024.701143	1512.458742	1544.373668	1762.867637	1835.783623	2175.664026	2052.038688	768.0488135	984.4160238	1032.145563	2349.399472	1539.368172	2282.0994	2004.202895	1147.79366	1379.185937	1785.243182	2274.358742	1345.784151	1390.38312	1368.118372	1291.287564	1948.002543	1705.191794	1816.684896	1875.323023	2132.254893	1370.974234	1687.090817	1648.970121	1694.827668	1819.102862	1757.366275	2148.558887	2087.019252	2097.424097	2225.697798	2166.235591	2386.386703	2486.137163	2575.246897	2941.01708	2609.237278	2182.000637	2544.897826	2754.839893	2610.936217	2976.800236	2166.516323	2317.759755	2227.249122	2525.336191	1990.36786	2283.427364	2129.020592	817.9995137	1164.583749	2805.411299	2735.309386	1579.133687	1843.319512	2042.504565	2228.298902	2056.727884	1908.024689	2337.138457	2496.013075	1654.209848	1722.39822	2031.563193	1443.438172	1700.121372	1459.94094	2115.328165	2137.686711	1909.458321	2126.058182
1399.257506	1487.379246	1578.251005	1482.262542	1634.294679	1729.399265	1833.068585	1929.666461	2038.869644	1510.752513	1637.027595	1562.90583	1656.339335	2002.966243	2391.071848	1481.577092	2003.711051	2438.345123	2135.181321	2717.181795	2802.984944	1629.13517	1932.723823	2021.620476	1520.809387	1544.807469	1776.503329	1856.863878	2182.31709	2060.182977	770.2079806	991.7238256	1035.524441	2360.904509	1541.286228	2299.01711	2020.062463	1152.810929	1384.102626	1792.688982	2283.26854	1347.793304	1398.372691	1376.626233	1291.85955	1966.787664	1716.413412	1828.817613	1864.541319	2142.039938	1387.379018	1699.8076	1657.217562	1702.235686	1828.678949	1768.899408	2156.396327	2097.539981	2102.062228	2236.367619	2179.428609	2412.617318	2507.952137	2599.439039	2957.431643	2622.919325	2187.83661	2554.667989	2761.345791	2631.158419	2987.918362	2179.135903	2324.989724	2230.505081	2533.801718	2005.354059	2301.227941	2137.555132	822.8960632	1168.505576	2812.978535	2753.887509	1585.816004	1840.189322	2065.3709	2249.145382	2071.016095	1919.298373	2348.298727	2500.374931	1671.24082	1741.614767	2041.209652	1459.384816	1713.341587	1467.065742	2134.815357	2145.32588	1904.856517	2132.967975
1389.006899	1485.117754	1573.017783	1482.42789	1632.703167	1737.893473	1826.555518	1928.96746	2038.069706	1509.861767	1648.109557	1570.162088	1658.923428	2002.025186	2396.623038	1478.99512	2001.766153	2438.676984	2133.574354	2707.903117	2799.498185	1627.352322	1932.286453	2017.344749	1520.183126	1545.362567	1772.74042	1854.348362	2175.182354	2062.41819	765.3793959	988.3896598	1032.335643	2360.018237	1542.335628	2301.484668	2013.851012	1153.265332	1384.900975	1791.358241	2282.037526	1352.357346	1400.009188	1376.079342	1294.057963	1970.701563	1717.296959	1823.022863	1869.925156	2148.296832	1381.226572	1689.577725	1652.139321	1699.999595	1833.380645	1772.514694	2157.832417	2104.398347	2113.650231	2248.87867	2197.512146	2411.128335	2509.406946	2590.648586	2947.91628	2633.000108	2182.202274	2548.262684	2751.719654	2629.921905	2982.748839	2182.785415	2325.552712	2224.318553	2536.832881	2002.175426	2297.489434	2136.231304	822.524357	1176.493135	2797.137367	2742.919169	1590.86829	1839.222796	2062.387867	2241.803984	2071.907705	1917.535461	2348.41666	2495.978929	1666.493054	1734.960805	2031.914907	1447.150118	1706.92474	1466.402009	2133.37117	2142.957762	1915.141757	2136.859509
1383.470442	1489.724136	1570.772731	1492.766087	1645.904627	1749.136759	1835.296551	1934.55603	2053.699558	1519.067744	1660.657123	1582.171822	1667.125386	2012.817385	2413.726138	1476.093668	2002.498394	2445.886398	2134.640681	2710.171274	2831.188967	1635.46137	1945.812891	2020.878768	1522.67219	1557.663132	1784.55467	1867.454646	2189.10799	2078.204879	770.6772055	988.5752704	1037.078736	2359.71688	1543.495198	2311.921742	2020.363188	1153.948404	1383.521174	1796.422165	2285.817877	1359.861431	1408.573423	1379.359717	1301.448959	1983.796266	1725.319296	1838.695947	1882.543806	2154.003694	1385.857779	1698.905968	1669.005863	1706.004453	1841.309647	1787.183163	2166.09636	2116.480532	2112.497883	2255.106421	2203.740251	2425.421191	2525.107383	2613.430557	2968.589094	2647.96337	2184.585642	2569.70326	2771.053789	2637.861251	3002.408779	2191.731377	2342.549695	2227.260869	2547.653534	2004.732846	2305.240989	2153.40741	823.0149387	1174.580139	2813.750126	2759.081094	1590.201053	1838.704542	2066.81263	2248.008703	2070.70529	1927.382338	2357.199746	2506.065654	1668.439408	1732.742671	2039.905912	1454.85815	1711.570061	1467.646914	2138.801685	2153.539355	1926.343572	2141.833908
1398.516777	1499.111397	1589.289623	1490.427658	1640.759734	1759.509103	1842.749512	1936.921928	2059.113303	1523.388419	1657.595304	1576.927447	1677.750092	2017.137792	2416.05701	1483.909529	2015.235588	2459.901274	2154.950005	2722.192078	2830.176973	1629.396476	1951.477523	2035.638143	1532.887168	1551.253822	1785.827007	1871.907834	2188.755308	2078.256132	767.4538019	988.2011141	1042.466594	2370.7307	1542.021579	2330.60941	2032.990435	1156.430206	1385.684489	1803.290606	2299.991764	1350.211906	1400.389971	1383.063302	1300.552878	1980.734373	1726.893465	1840.661657	1884.918884	2149.510401	1389.344394	1702.698424	1666.326413	1699.216456	1843.748095	1794.633169	2164.541426	2116.824403	2121.643259	2251.251724	2204.255531	2436.881915	2533.750376	2614.348087	2974.851759	2649.889516	2187.213148	2571.24912	2769.192933	2639.108791	3003.073565	2190.564372	2341.284699	2232.25297	2552.169259	2010.563725	2316.233497	2152.286306	826.3576405	1175.690431	2812.791466	2762.420293	1595.798678	1840.054742	2073.707278	2250.507678	2078.685022	1929.868619	2364.51897	2508.833376	1669.468177	1739.096339	2037.982017	1450.077739	1712.722166	1472.245812	2143.101785	2157.323969	1918.344044	2134.479962
1398.001739	1494.699127	1587.63518	1477.808219	1635.310217	1763.152499	1843.453229	1939.466751	2068.814733	1515.586519	1651.965277	1572.768117	1680.123603	2020.791429	2418.581562	1475.120838	2008.682635	2456.046619	2147.643666	2723.208112	2833.34666	1629.412492	1954.590074	2034.887798	1525.577145	1551.983975	1787.47347	1866.790632	2190.144962	2077.344059	767.3338733	984.5864427	1036.874567	2363.982179	1541.463278	2338.070473	2025.05178	1149.952587	1376.466308	1796.08974	2293.315854	1355.281713	1395.44892	1376.560254	1291.650778	1977.739779	1731.421296	1840.45091	1898.655431	2144.102442	1384.399754	1703.915036	1664.005594	1685.129275	1848.813348	1799.462415	2166.243402	2121.485176	2115.765815	2251.658089	2200.845097	2440.248361	2534.728799	2623.770096	2971.164768	2649.465996	2186.148981	2573.156435	2767.422434	2643.325029	3010.341687	2192.173733	2341.852712	2239.416335	2555.187726	2007.120049	2316.428822	2151.195346	821.8718313	1165.736802	2817.873409	2761.880336	1584.542287	1838.361657	2066.817856	2251.826272	2074.675565	1928.905026	2368.487363	2508.327548	1661.914593	1742.018176	2037.507089	1449.258159	1706.934405	1465.107771	2137.53626	2158.621482	1929.258434	2132.93851
1384.819173	1488.880691	1587.906569	1476.719908	1631.350927	1773.88702	1850.492656	1945.893806	2071.427354	1520.194306	1667.402752	1582.417603	1678.717272	2016.135199	2415.239009	1474.894005	2005.798958	2454.754232	2142.60099	2725.475601	2818.646731	1632.283397	1950.652498	2039.290981	1524.332462	1557.303528	1781.367712	1865.617972	2192.707915	2074.290787	761.0687052	983.740483	1027.248118	2358.868775	1540.14603	2343.4933	2024.47333	1143.317128	1366.911176	1790.145274	2282.69337	1350.136674	1391.05989	1373.204576	1295.931709	1962.60389	1716.504886	1831.828497	1894.837484	2139.789969	1386.398595	1698.528197	1661.379477	1687.854678	1852.587621	1801.927619	2172.727021	2126.719309	2119.89855	2248.224474	2196.093338	2441.128937	2530.485866	2611.039026	2954.8553	2646.209259	2190.591673	2564.234263	2760.351082	2636.636442	2997.007372	2193.763465	2337.332598	2237.498774	2556.754969	2005.917022	2308.533768	2151.130569	820.4847791	1168.883924	2820.13988	2754.455938	1585.987228	1842.079278	2066.851657	2250.559241	2076.749944	1928.444817	2371.680347	2510.769398	1653.591117	1733.884504	2031.581036	1448.036434	1704.548329	1462.94083	2130.046206	2150.512424	1940.860125	2141.226287
